tab_id	word	niu	yunbu	she	hu	deng	tone	chong	fanqie	flag	expl	ipa	jp	bwipa	bwjp
1	東	端	東	通	開	一	平	O	德紅	1	春方也說文曰動也从日在木中亦東風菜廣州記云陸地生莖赤和肉作羹味如酪香似蘭吳都賦云莫則東風扶留又姓舜七友有東不訾又漢複姓十三氏左傳魯鄉東門襄仲後因氏焉齊有大夫東郭偃又有東宮得臣晉有東關嬖五神仙傳有廣陵人	tʊŋ55	dung1	tœŋ53	doeng1
2	菄	端	東	通	開	一	平	O	德紅	1	東風菜義見上注俗加艹（春方也說文曰動也从日在木中亦東風菜廣州記云陸地生莖赤和肉作羹味如酪香似蘭吳都賦云莫則東風扶留又姓舜七友有東不訾又漢複姓十三氏左傳魯鄉東門襄仲後因氏焉齊有大夫東郭偃又有東宮得臣晉有	tʊŋ55	dung1	tœŋ53	doeng1
3	鶇	端	東	通	開	一	平	O	德紅	1	鶇鵍鳥名美形出廣雅亦作𪂝	tʊŋ55	dung1	tœŋ53	doeng1
4	䍶	端	東	通	開	一	平	O	德紅	3	獸名山海經曰秦戲山有獸狀如羊一角一目目在耳後其名曰䍶又音陳音棟	tʊŋ55	dung1	tœŋ53	doeng1
5	𠍀	端	東	通	開	一	平	O	德紅	1	儱𠍀儜劣皃出字諟	tʊŋ55	dung1	tœŋ53	doeng1
6	倲	端	東	通	開	一	平	O	德紅	1	上同（儱𠍀儜劣皃出字諟）	tʊŋ55	dung1	tœŋ53	doeng1
7	𩜍	端	東	通	開	一	平	O	德紅	1	地理志云東郡館名	tʊŋ55	dung1	tœŋ53	doeng1
8	𢘐	端	東	通	開	一	平	O	德紅	1	古文見道經	tʊŋ55	dung1	tœŋ53	doeng1
9	涷	端	東	通	開	一	平	O	德紅	2	瀧涷沾漬說文曰水出發鳩山入於河又都貢切	tʊŋ55	dung1	tœŋ53	doeng1
10	蝀	端	東	通	開	一	平	O	德紅	2	螮蝀虹也又音董	tʊŋ55	dung1	tœŋ53	doeng1
11	凍	端	東	通	開	一	平	O	德紅	2	凍凌又都貢切	tʊŋ55	dung1	tœŋ53	doeng1
12	鯟	端	東	通	開	一	平	O	德紅	1	魚名似鯉	tʊŋ55	dung1	tœŋ53	doeng1
13	𢔅	端	東	通	開	一	平	O	德紅	1	行皃	tʊŋ55	dung1	tœŋ53	doeng1
14	崠	端	東	通	開	一	平	O	德紅	1	崠如山名	tʊŋ55	dung1	tœŋ53	doeng1
15	埬	端	東	通	開	一	平	O	德紅	1	上埬地名	tʊŋ55	dung1	tœŋ53	doeng1
16	𧓕	端	東	通	開	一	平	O	德紅	1	蛞𧓕科斗蟲也案爾雅曰科斗活東郭璞云蝦蟆子也字俗從䖵	tʊŋ55	dung1	tœŋ53	doeng1
17	䰤	端	東	通	開	一	平	O	德紅	1	醜皃	tʊŋ55	dung1	tœŋ53	doeng1
18	同	定	東	通	開	一	平	O	徒紅	1	齊也共也輩也合也律歷有六同亦州春秋時晉夷吾獻其西河地於秦七國時屬魏秦并天下爲內史之地漢武更名馮翊又有九龍泉泉有九源同爲一流因以名之又羌複姓有同蹄氏望在勃海徒紅切四十五	tʰʊŋ21	tung4	tœŋ21	doeng4
19	仝	定	東	通	開	一	平	O	徒紅	1	古文出道書	tʰʊŋ21	tung4	tœŋ21	doeng4
20	童	定	東	通	開	一	平	O	徒紅	1	童獨也言童子未有室家也又姓出東莞漢有琅邪內史童仲玉	tʰʊŋ21	tung4	tœŋ21	doeng4
21	僮	定	東	通	開	一	平	O	徒紅	1	僮僕又頑也癡也又姓漢有交阯刺史僮尹出風俗通	tʰʊŋ21	tung4	tœŋ21	doeng4
22	銅	定	東	通	開	一	平	O	徒紅	1	金之一品	tʰʊŋ21	tung4	tœŋ21	doeng4
23	桐	定	東	通	開	一	平	O	徒紅	1	木名月令曰清明之日桐始華又桐廬縣在睦州亦姓有桐君藥錄兩卷	tʰʊŋ21	tung4	tœŋ21	doeng4
24	峒	定	東	通	開	一	平	O	徒紅	2	崆峒山名	tʰʊŋ21	tung4	tœŋ21	doeng4
25	硐	定	東	通	開	一	平	O	徒紅	2	磨也	tʰʊŋ21	tung4	tœŋ21	doeng4
26	𦨴	定	東	通	開	一	平	O	徒紅	1	𦨴船	tʰʊŋ21	tung4	tœŋ21	doeng4
27	𧱁	定	東	通	開	一	平	O	徒紅	1	獸似豕出泰山	tʰʊŋ21	tung4	tœŋ21	doeng4
28	筒	定	東	通	開	一	平	O	徒紅	2	竹筒又竹名射筒吳都賦曰其竹則桂箭射筒	tʰʊŋ21	tung4	tœŋ21	doeng4
29	瞳	定	東	通	開	一	平	O	徒紅	1	目瞳	tʰʊŋ21	tung4	tœŋ21	doeng4
30	㼧	定	東	通	開	一	平	O	徒紅	1	㼧瓦	tʰʊŋ21	tung4	tœŋ21	doeng4
31	𤭁	定	東	通	開	一	平	O	徒紅	1	上同（㼧瓦）	tʰʊŋ21	tung4	tœŋ21	doeng4
32	罿	定	東	通	開	一	平	O	徒紅	2	車上網又音衝	tʰʊŋ21	tung4	tœŋ21	doeng4
33	犝	定	東	通	開	一	平	O	徒紅	1	犝牛無角	tʰʊŋ21	tung4	tœŋ21	doeng4
34	筩	定	東	通	開	一	平	O	徒紅	1	竹筩	tʰʊŋ21	tung4	tœŋ21	doeng4
35	潼	定	東	通	開	一	平	O	徒紅	2	水名出廣漢郡亦關名又通衝二音	tʰʊŋ21	tung4	tœŋ21	doeng4
36	曈	定	東	通	開	一	平	O	徒紅	3	曈曨日欲明也又他孔切	tʰʊŋ21	tung4	tœŋ21	doeng4
37	洞	定	東	通	開	一	平	O	徒紅	2	洪洞縣名在晉州北又徒弄切	tʰʊŋ21	tung4	tœŋ21	doeng4
38	侗	定	東	通	開	一	平	O	徒紅	3	楊子法言云倥侗顓蒙	tʰʊŋ21	tung4	tœŋ21	doeng4
39	橦	定	東	通	開	一	平	O	徒紅	3	木名花可爲布出字書又鍾幢二音	tʰʊŋ21	tung4	tœŋ21	doeng4
40	烔	定	東	通	開	一	平	O	徒紅	1	熱氣烔烔出字林	tʰʊŋ21	tung4	tœŋ21	doeng4
41	䴀	定	東	通	開	一	平	O	徒紅	1	鸏䴀水鳥黃喙喙長尺餘南人以爲酒器出劉欣期交州記	tʰʊŋ21	tung4	tœŋ21	doeng4
42	挏	定	東	通	開	一	平	O	徒紅	2	引也漢官名有挏馬又音動	tʰʊŋ21	tung4	tœŋ21	doeng4
43	酮	定	東	通	開	一	平	O	徒紅	2	馬酪又音動	tʰʊŋ21	tung4	tœŋ21	doeng4
44	鮦	定	東	通	開	一	平	O	徒紅	3	爾雅云鰹大鮦又直冢直柳二切	tʰʊŋ21	tung4	tœŋ21	doeng4
45	㼿	定	東	通	開	一	平	O	徒紅	2	井甓一云甃也	tʰʊŋ21	tung4	tœŋ21	doeng4
46	𦏆	定	東	通	開	一	平	O	徒紅	1	無角羊	tʰʊŋ21	tung4	tœŋ21	doeng4
47	𦍻	定	東	通	開	一	平	O	徒紅	1	上同（無角羊）	tʰʊŋ21	tung4	tœŋ21	doeng4
48	眮	定	東	通	開	一	平	O	徒紅	3	目眶又徒摠切	tʰʊŋ21	tung4	tœŋ21	doeng4
49	蕫	定	東	通	開	一	平	O	徒紅	2	草名又多動切	tʰʊŋ21	tung4	tœŋ21	doeng4
50	穜	定	東	通	開	一	平	O	徒紅	2	穜稑先種後熟謂之穜後種先熟謂之稑又音重	tʰʊŋ21	tung4	tœŋ21	doeng4
51	衕	定	東	通	開	一	平	O	徒紅	2	通街也	tʰʊŋ21	tung4	tœŋ21	doeng4
52	𩍅	定	東	通	開	一	平	O	徒紅	1	靫具飾也	tʰʊŋ21	tung4	tœŋ21	doeng4
53	𢈉	定	東	通	開	一	平	O	徒紅	1	地下應聲	tʰʊŋ21	tung4	tœŋ21	doeng4
54	䆚	定	東	通	開	一	平	O	徒紅	1	通䆚也	tʰʊŋ21	tung4	tœŋ21	doeng4
55	哃	定	東	通	開	一	平	O	徒紅	1	哃𠹔大言	tʰʊŋ21	tung4	tœŋ21	doeng4
56	𢏕	定	東	通	開	一	平	O	徒紅	1	弓飾	tʰʊŋ21	tung4	tœŋ21	doeng4
57	絧	定	東	通	開	一	平	O	徒紅	2	布名	tʰʊŋ21	tung4	tœŋ21	doeng4
58	𨚯	定	東	通	開	一	平	O	徒紅	1	鄉名	tʰʊŋ21	tung4	tœŋ21	doeng4
59	𨝯	定	東	通	開	一	平	O	徒紅	1	地名又姓	tʰʊŋ21	tung4	tœŋ21	doeng4
60	𪔜	定	東	通	開	一	平	O	徒紅	1	鼓聲	tʰʊŋ21	tung4	tœŋ21	doeng4
61	𩦶	定	東	通	開	一	平	O	徒紅	2	黑虎	tʰʊŋ21	tung4	tœŋ21	doeng4
62	𪒿	定	東	通	開	一	平	O	徒紅	1	黑皃	tʰʊŋ21	tung4	tœŋ21	doeng4
