tab_id	word	expl	final_part	first_old	final_old	tone	jyutping	ipa	volume	page	first_type	fanqie
1	先	前進又始也	第一先蘚線屑	心	先	陰平	sin1	sin55	上冊	19	精	
2	𥑻	玉次石	第一先蘚線屑	心	先	陰平	sin1	sin55	上冊	19	精	
3	仙	神仙	第一先蘚線屑	心	先	陰平	sin1	sin55	上冊	19	精	
4	僊	同上(神仙)	第一先蘚線屑	心	先	陰平	sin1	sin55	上冊	19	精	
5	褼	褊褼衣貌	第一先蘚線屑	心	先	陰平	sin1	sin55	上冊	19	精	
6	鮮	新鮮	第一先蘚線屑	心	先	陰平	sin1	sin55	上冊	19	精	
7	天	積陽氣而上浮者也	第一先蘚線屑	透	先	陰平	tin1	tʰin55	上冊	19	端來	
8	䒶	古文天字	第一先蘚線屑	透	先	陰平	tin1	tʰin55	上冊	19	端來	
9	靝	古文天字	第一先蘚線屑	透	先	陰平	tin1	tʰin55	上冊	19	端來	
10	千	十百曰千	第一先蘚線屑	清	先	陰平	cin1	tsʰin55	上冊	19	精	
11	躚	蹁躚	第一先蘚線屑	清	先	陰平	cin1	tsʰin55	上冊	19	精	
12	芊	草盛貌	第一先蘚線屑	清	先	陰平	cin1	tsʰin55	上冊	19	精	
13	阡	田箕也南北曰阡東西曰陌	第一先蘚線屑	清	先	陰平	cin1	tsʰin55	上冊	19	精	
14	韆	鞦韆	第一先蘚線屑	清	先	陰平	cin1	tsʰin55	上冊	19	精	
15	遷	移徙	第一先蘚線屑	清	先	陰平	cin1	tsʰin55	上冊	19	精	
16	迁	同上(移徙)	第一先蘚線屑	清	先	陰平	cin1	tsʰin55	上冊	19	精	
17	邊	旁邊	第一先蘚線屑	幫	先	陰平	bin1	pin55	上冊	19	幫非	
18	蝙	蝙蝠	第一先蘚線屑	幫	先	陰平	bin1	pin55	上冊	19	幫非	
19	籩	籩豆盛黍稷之器	第一先蘚線屑	幫	先	陰平	bin1	pin55	上冊	19	幫非	
20	𩽲	魚名	第一先蘚線屑	幫	先	陰平	bin1	pin55	上冊	19	幫非	
21	鞭	馬鞭	第一先蘚線屑	幫	先	陰平	bin1	pin55	上冊	19	幫非	
22	編	簡編	第一先蘚線屑	幫	先	陰平	bin1	pin55	上冊	19	幫非	
23	緶	縫衣曰緶又網巾緶	第一先蘚線屑	幫	先	陰平	bin1	pin55	上冊	19	幫非	
24	箯	竹輿曰箯	第一先蘚線屑	幫	先	陰平	bin1	pin55	上冊	19	幫非	
25	辮	辮髮	第一先蘚線屑	幫	先	陰平	bin1	pin55	上冊	19	幫非	
26	篇	書篇	第一先蘚線屑	滂	先	陰平	pin1	pʰin55	上冊	19	幫非	
27	偏	不正也	第一先蘚線屑	滂	先	陰平	pin1	pʰin55	上冊	19	幫非	
28	翩	翩翻又疾飛也	第一先蘚線屑	滂	先	陰平	pin1	pʰin55	上冊	19	幫非	
29	扁	小舟也	第一先蘚線屑	滂	先	陰平	pin1	pʰin55	上冊	19	幫非	
30	艑	艑艖舟名也	第一先蘚線屑	滂	先	陰平	pin1	pʰin55	上冊	19	幫非	
31	堅	實也	第一先蘚線屑	見	先	陰平	gin1	kin55	上冊	19	見影	
32	肩	膊肩	第一先蘚線屑	見	先	陰平	gin1	kin55	上冊	19	見影	
33	鵳	雁也	第一先蘚線屑	見	先	陰平	gin1	kin55	上冊	19	見影	
34	鈃	似鐘而頸長	第一先蘚線屑	見	先	陰平	gin1	kin55	上冊	19	見影	
35	豣	三歳豕	第一先蘚線屑	見	先	陰平	gin1	kin55	上冊	19	見影	
36	犍	犍牛	第一先蘚線屑	見	先	陰平	gin1	kin55	上冊	19	見影	
