tab_id	word	word_note	page	old_jp	old_jp_type	old_jp_note	expl	ipa	jyutping
1	吖		P1	꜀á				ʔa55	aa1
2	吖		P1	꜀ngá	Often pronunced/spoken			ŋa55	ngaa1
3	鴉		P1	꜀á				ʔa55	aa1
4	鴉		P1	꜀ngá	Often pronunced/spoken			ŋa55	ngaa1
5	呀		P1	꜀á			A colloquial word. An interjection used in answers, senoting surprise or alarm; alas! dreadful	ʔa55	aa1
6	呀		P1	꜀ngá	Often pronunced/spoken			ŋa55	ngaa1
7	呀		P1	꜁ngá			The wrangling of children; to open the mouth wide; [꜁ngá ꜀lán ꜃mai], cochineal	ŋa21	ngaa4
8	丫		P1	꜀á				ʔa55	aa1
9	丫		P1	꜀ngá	Often pronunced/spoken			ŋa55	ngaa1
10	啞		P1	꜂á			The confused noise of children studying; dumb; to keep silent…	ʔa35	aa2
11	啞		P1	꜂ngá	Often pronunced/spoken			ŋa35	ngaa2
12	啞		P1	ak꜆			[ak꜆ ak꜆] the sound of giggling	ʔɐk5	ak7
13	啞		P1	ngak꜆	Often pronunced/spoken			ŋɐk5	ngak7
14	瘂		P1	꜂á				ʔa35	aa2
15	瘂		P1	꜂ngá	Often pronunced/spoken			ŋa35	ngaa2
16	呀		P1	á꜄			A colloquial word. A final particle, adding intensity to the meaning; [꜁’m ꜂hò á꜄] not at all good	ʔa33	aa3
17	呀		P1	ngá꜄	Often pronunced/spoken			ŋa33	ngaa3
18	呀		P1	á꜅			Ten, used after a higher number; an answer, a word of reply like Aye! [á꜅ ꜂hò], yes, well; [sz’꜄ á꜅ ꜁ts‘ín], forty cash	ʔa22	aa6
19	呀		P1	ngá꜅	Also pronunced/read			ŋa22	ngaa6
20	亞|阿|亜		P2	á꜄				ʔa33	aa3
21	亞|阿|亜		P2	ngá꜄	Often pronunced/spoken			ŋa33	ngaa3
22	婭		P2	á꜄				ʔa33	aa3
23	婭		P2	ngá꜄	Often pronunced/spoken			ŋa33	ngaa3
24	𫫃		P2	꜀ai				ʔɐi55	ai1
25	𫫃		P2	꜀ngai	Often pronunced/spoken			ŋɐi55	ngai1
26	矮		P2	꜂ai				ʔɐi35	ai2
27	矮		P2	꜂ngai	Often pronunced/spoken			ŋɐi35	ngai2
28	縊		P2	ai꜄				ʔɐi33	ai3
29	縊		P2	ngai꜄	Often pronunced/spoken			ŋɐi33	ngai3
30	翳		P2	ai꜄				ʔɐi33	ai3
31	翳		P2	ngai꜄	Often pronunced/spoken			ŋɐi33	ngai3
32	𦠉		P2	ai꜄				ʔɐi33	ai3
33	𦠉		P2	ngai꜄	Often pronunced/spoken			ŋɐi33	ngai3
34	屭		P2	ai꜄				ʔɐi33	ai3
35	屭		P2	ngai꜄	Often pronunced/spoken			ŋɐi33	ngai3
36	曀		P2	ai꜄				ʔɐi33	ai3
37	曀		P2	ngai꜄	Often pronunced/spoken			ŋɐi33	ngai3
38	挨		P2	꜀ái				ʔai55	aai1
39	挨		P2	꜀ngái	Often pronunced/spoken			ŋai55	ngaai1
40	隘		P3	ái꜄				ʔai33	aai3
41	隘		P3	ngái꜄	Often pronunced/spoken			ŋai33	ngaai3
42	嗌		P3	ái꜄				ʔai33	aai3
43	嗌		P3	ngái꜄	Often pronunced/spoken			ŋai33	ngaai3
44	握		P3	ak꜆				ʔɐk5	ak7
45	握		P3	ngak꜆	Often pronunced/spoken			ŋɐk5	ngak7
46	渥		P3	ak꜆				ʔɐk5	ak7
47	渥		P3	ngak꜆	Often pronunced/spoken			ŋɐk5	ngak7
48	幄		P3	ak꜆				ʔɐk5	ak7
49	幄		P3	ngak꜆	Often pronunced/spoken			ŋɐk5	ngak7
50	厄|𢨪		P3	ak꜆				ʔɐk5	ak7
51	厄|𢨪		P3	ngak꜆	Often pronunced/spoken			ŋɐk5	ngak7
52	阨		P3	ak꜆				ʔɐk5	ak7
53	阨		P3	ngak꜆	Often pronunced/spoken			ŋɐk5	ngak7
54	扼		P3	ak꜆				ʔɐk5	ak7
55	扼		P3	ngak꜆	Often pronunced/spoken			ŋɐk5	ngak7
56	鈪		P3	ák꜆				ʔak5(3)	aak7°
57	鈪		P3	ngák꜆	Often pronunced/spoken			ŋak5(3)	ngaak7°
58	軛		P3	ák꜆				ʔak5(3)	aak7°
59	軛		P3	ngák꜆	Often pronunced/spoken			ŋak5(3)	ngaak7°
60	阨		P3	ák꜆			A colloquial word… To deceive, to delude, to take in; [꜂kòm yéung꜅ ák꜆ ꜁yan ꜂ké] are you going to cheat him so!	ʔak5(3)	aak7°
61	阨		P3	ngák꜆	Often pronunced/spoken			ŋak5(3)	ngaak7°
62	阨		P3	ak꜆	Also pronunced/read			ʔɐk5	ak7
63	阨		P3	ngak꜆	Also pronunced/read			ŋɐk5	ngak7
64	唵		P3	꜂am				ʔɐm35	am2
65	唵		P3	꜂ngam	Often pronunced/spoken			ŋɐm35	ngam2
66	掩		P3	꜂am				ʔɐm35	am2
67	掩		P3	꜂ngam	Often pronunced/spoken			ŋɐm35	ngam2
68	菡		P4	꜂ám				ʔam35	aam2
69	菡		P4	꜂ngám	Often pronunced/spoken			ŋam35	ngaam2
70	晏		P4	án꜄				ʔan33	aan3
71	晏		P4	ngán꜄	Often pronunced/spoken			ŋan33	ngaan3
72	鷃		P4	án꜄				ʔan33	aan3
73	鷃		P4	ngán꜄	Often pronunced/spoken			ŋan33	ngaan3
74	鶯		P4	꜀ang				ʔɐŋ55	ang1
75	鶯		P4	꜀ngang	Often pronunced/spoken			ŋɐŋ55	ngang1
76	罃		P4	꜀ang				ʔɐŋ55	ang1
77	罃		P4	꜀ngang	Often pronunced/spoken			ŋɐŋ55	ngang1
78	嚶		P4	꜀ang				ʔɐŋ55	ang1
79	嚶		P4	꜀ngang	Often pronunced/spoken			ŋɐŋ55	ngang1
80	哽		P4	꜂ang				ʔɐŋ35	ang2
81	哽		P4	꜂ngang	Often pronunced/spoken			ŋɐŋ35	ngang2
82	㾘		P4	꜂ang				ʔɐŋ35	ang2
83	㾘		P4	꜂ngang	Often pronunced/spoken			ŋɐŋ35	ngang2
84	更		P4	ang꜄				ʔɐŋ33	ang3
85	更		P4	ngang꜄	Often pronunced/spoken			ŋɐŋ33	ngang3
86	甖|罌		P4	꜀áng				ʔaŋ55	aang1
87	甖|罌		P4	꜀ngáng	Often pronunced/spoken			ŋaŋ55	ngaang1
88	洽		P4	ap꜆				ʔɐp5	ap7
89	洽		P4	ngap꜆	Often pronunced/spoken			ŋɐp5	ngap7
90	洽		P4	háp꜇			A colloquial word. To cover, over, to keep from the air; to cover, as with a poultice;…	hap2	haap8
91	鴨		P5	áp꜆			Read [áp꜆]. To instil, to saturate, to soak…	ʔap5(3)	aap7°
92	鴨		P5	ngáp꜆	Often pronunced/spoken			ŋap5(3)	ngaap7°
93	押		P5	áp꜆				ʔap5(3)	aap7°
94	押		P5	ngáp꜆	Often pronunced/spoken			ŋap5(3)	ngaap7°
95	○		P5	at꜆			A colloquial word. To thrust in, to put into, as a purse or drawer; [at꜆ lok꜇] put it in; [at꜆ ꜃k‘ü iú꜄] he must want it; make him take it	ʔɐt5	at7
96	○		P5	ngat꜆	Often pronunced/spoken			ŋɐt5	ngat7
97	遏		P5	át꜆				ʔat5(3)	aat7°
98	遏		P5	ngát꜆	Often pronunced/spoken			ŋat5(3)	ngaat7°
99	押		P5	át꜆				ʔat5(3)	aat7°
100	押		P5	ngát꜆	Often pronunced/spoken			ŋat5(3)	ngaat7°
101	戞|戛		P5	át꜆				ʔat5(3)	aat7°
102	戞|戛		P5	ngát꜆	Often pronunced/spoken			ŋat5(3)	ngaat7°
103	揠		P5	át꜆				ʔat5(3)	aat7°
104	揠		P5	ngát꜆	Often pronunced/spoken			ŋat5(3)	ngaat7°
105	秸		P5	át꜆				ʔat5(3)	aat7°
106	秸		P5	ngát꜆	Often pronunced/spoken			ŋat5(3)	ngaat7°
107	恝		P5	át꜆				ʔat5(3)	aat7°
108	恝		P5	ngát꜆	Often pronunced/spoken			ŋat5(3)	ngaat7°
109	壓		P6	át꜆				ʔat5(3)	aat7°
110	壓		P6	ngát꜆	Often pronunced/spoken			ŋat5(3)	ngaat7°
111	閼		P6	át꜆				ʔat5(3)	aat7°
112	閼		P6	ngát꜆	Often pronunced/spoken			ŋat5(3)	ngaat7°
113	頞		P6	át꜆				ʔat5(3)	aat7°
114	頞		P6	ngát꜆	Often pronunced/spoken			ŋat5(3)	ngaat7°
115	區		P6	꜀au				ʔɐu55	au1
116	區		P6	꜀ngau	Often pronunced/spoken			ŋɐu55	ngau1
117	甌		P6	꜀au				ʔɐu55	au1
118	甌		P6	꜀ngau	Often pronunced/spoken			ŋɐu55	ngau1
119	鷗		P6	꜀au				ʔɐu55	au1
120	鷗		P6	꜀ngau	Often pronunced/spoken			ŋɐu55	ngau1
121	謳		P6	꜀au				ʔɐu55	au1
122	謳		P6	꜀ngau	Often pronunced/spoken			ŋɐu55	ngau1
123	歐		P6	꜀au				ʔɐu55	au1
124	歐		P6	꜀ngau	Often pronunced/spoken			ŋɐu55	ngau1
125	嘔		P6	꜂au			Interchanged with the last (歐). To vomit; the noise of retching; to spit out…	ʔɐu35	au2
126	嘔		P6	꜂ngau	Often pronunced/spoken			ŋɐu35	ngau2
127	毆		P6	꜂au				ʔɐu35	au2
128	毆		P6	꜂ngau	Often pronunced/spoken			ŋɐu35	ngau2
129	漚		P6	au꜄			To soak, to macerate, to steep…	ʔɐu33	au3
130	漚		P6	ngau꜄	Often pronunced/spoken			ŋɐu33	ngau3
131	漚		P6	꜀au			Bubbles on the water; frothy spume	ʔɐu55	au1
132	漚		P6	꜀ngau	Often pronunced/spoken			ŋɐu55	ngau1
133	坳|㘭		P6	꜀áu				ʔau55	aau1
134	坳|㘭		P6	꜀ngáu	Often pronunced/spoken			ŋau55	ngaau1
135	拗|抝		P7	꜂áu				ʔau35	aau2
136	拗|抝		P7	꜂ngáu	Often pronunced/spoken			ŋau35	ngaau2
137	拗|抝		P7	áu꜄				ʔau33	aau3
138	拗|抝		P7	ngáu꜄	Often pronunced/spoken			ŋau33	ngaau3
139	坳|㘭		P7	áu꜄				ʔau33	aau3
140	坳|㘭		P7	ngáu꜄	Often pronunced/spoken			ŋau33	ngaau3
141	凹		P7	áu꜄				ʔau33	aau3
142	凹		P7	ngáu꜄	Often pronunced/spoken			ŋau33	ngaau3
143	渣		P7	꜀chá				tʃa55	zhaa1
144	樝		P7	꜀chá				tʃa55	zhaa1
145	皻		P7	꜀chá				tʃa55	zhaa1
146	蹅		P7	꜀chá				tʃa55	zhaa1
147	㪥		P7	꜀chá				tʃa55	zhaa1
148	揸		P7	꜀chá				tʃa55	zhaa1
149	𠾵		P7	꜀chá			A colloquial partile implying a short time; [꜂tang ꜃há ꜀chá]! Wait a moment; [꜀yam ꜁ch‘á ꜀chá], only just to take a cup of tea	tʃa55	zhaa1
150	撾		P7	꜀chá				tʃa55	zhaa1
151	鮓		P7	꜂chá			A rank condiment of fish or flesh and salted hashed fine, with red rice and oil; [꜀chá ꜁ü], a sort of Medosa or sea-bluber; [lá꜅ ꜂chá], rank, dirty, foul.	tʃa35	zhaa2
152	痄		P8	꜂chá				tʃa35	zhaa2
153	詐		P8	chá꜄				tʃa33	zhaa3
154	蚱		P8	chá꜄				tʃa33	zhaa3
155	醡		P8	chá꜄				tʃa33	zhaa3
156	榨		P8	chá꜄				tʃa33	zhaa3
157	乍		P8	chá꜄				tʃa33	zhaa3
158	搾		P8	chá꜄				tʃa33	zhaa3
159	咋		P8	chá꜄				tʃa33	zhaa3
160	差		P8	꜀ch‘á				tʃʰa55	chaa1
161	汊|岔		P8	꜀ch‘á				tʃʰa55	chaa1
162	义		P8	꜀ch‘á				tʃʰa55	chaa1
163	扠		P8	꜀ch‘á				tʃʰa55	chaa1
164	茶		P8	꜁ch‘á				tʃʰa21	chaa4
165	嗏		P9	꜁ch‘á				tʃʰa21	chaa4
166	搽		P9	꜁ch‘á				tʃʰa21	chaa4
167	槎		P9	꜁ch‘á				tʃʰa21	chaa4
