year	tab_id	trad	simp	ipa_s	ipa_t	jyutping	sour	expl	note
2021	1	囗(lung1)	囗(lung1)	luŋ53	loŋ53	lung1	1998年陳謨志總纂《南寧市誌·文化卷》P656	吵鬧	原文有音無字，標音[luŋ53]
2021	2	瞓	瞓	wɐn55	wɐn55	wan3	1998年陳謨志總纂《南寧市誌·文化卷》P656	累乏	原文有音無字
2021	3	睏	睏	wɐn55	wɐn55	wan3	1998年陳謨志總纂《南寧市誌·文化卷》P656	累乏	原文有音無字
2021	4	囗(njaang3)	囗(njaang3)	ȵaŋ55	ȵaŋ55	njaang3	1998年陳謨志總纂《南寧市誌·文化卷》P656	咬	原文有音無字
2021	5	剁	剁	tɛk3	tiɐk3	diak2	1998年陳謨志總纂《南寧市誌·文化卷》P656	剁肉	原文有音無字，標音[tɛk3]
2021	6	斲	斫	tɛk3	tiɐk3	diak2	1998年陳謨志總纂《南寧市誌·文化卷》P656	剁肉	原文有音無字，標音[tɛk3]
2021	7	翕	翕	jɐp2	jɐp2	jap6	1998年陳謨志總纂《南寧市誌·文化卷》P656	眨	原文有音無字
2021	8	眨	眨	jɐp2	jɐp2	jap6	1998年陳謨志總纂《南寧市誌·文化卷》P656	眨	原文有音無字
2021	9	搣	搣	mat3	mat3	maat2	1998年陳謨志總纂《南寧市誌·文化卷》P656	掐	原文有音無字
2021	10	忔	忔	ŋɛt5	ŋɛt5	nget3	1998年陳謨志總纂《南寧市誌·文化卷》P661	小氣	原文有音無字
2021	11	哄	哄	hœŋ33	hœŋ33	hoeng2	1998年陳謨志總纂《南寧市誌·文化卷》P658	騙	原文有音無字
2021	12	鐺	铛	tʃʰɛŋ53	tʃʰiɐŋ53	ciang1	1998年陳謨志總纂《南寧市誌·文化卷》P657	炒菜鍋	原文作[tʃʰɛŋ53]
2021	13	钁	镢	kʰwɐk5	kʷʰɐk5	kwak3	1998年陳謨志總纂《南寧市誌·文化卷》P657	大鋤頭	原文誤作「镬」字
2021	14	𣵰	𣵰	lɐn24	lɐn24	lan5	1998年陳謨志總纂《南寧市誌·文化卷》P656	溢出、水滿	原文有音無字
2021	15	𧢝	𧢝	lɐi55	lɐi55	lai3	1998年陳謨志總纂《南寧市誌·文化卷》P656	找	原文有音無字
2021	16	䚕	䚕	lɐi55	lɐi55	lai3	1998年陳謨志總纂《南寧市誌·文化卷》P656	找	原文有音無字
2021	17	矋	矋	lɐi55	lɐi55	lai3	1998年陳謨志總纂《南寧市誌·文化卷》P656	找	原文有音無字
2021	17	江夯邊	江夯边	kaŋ53 haŋ53 pin53	kaŋ53 haŋ53 pin53	gaang1 haang1 bin1	1998年陳謨志總纂《南寧市誌·文化卷》P656	岸邊	原文作「江坎邊」
2021	18	揼水	揼水	tɐm55 ʃui33	tɐm55 ʃui33	dam3 sui2	1998年陳謨志總纂《南寧市誌·文化卷》P656	汲水	原文有音無字
2021	19	凐水	凐水	jɐn53 ʃui33	jɐn53 ʃui33	jan1 sui2	1998年陳謨志總纂《南寧市誌·文化卷》P656	涼水	原文有音無字
2021	20	嚜鉤	嚜钩	mak5 kɐu53	mak5 kɐu53	maak3 gau1	1998年陳謨志總纂《南寧市誌·文化卷》P656	鋤頭	原文有音無字
2021	21	穀串	谷串	kœk3 tʃʰyn55	kœk3 tʃʰyn55	goek2 cyun3	1998年陳謨志總纂《南寧市誌·文化卷》P656	穀穗	原文未標音
2021	22	粟禾	粟禾	ɬœk3 hu21	ɬœk3 hu21	sloek2 hu4	1998年陳謨志總纂《南寧市誌·文化卷》P656	小米	原文未標音
2021	23	𤊶水	𤊶水	lɐt5 ʃui33	lɐt5 ʃui33	lat3 sui2	1998年陳謨志總纂《南寧市誌·文化卷》P657	熱水	原文有音無字
2021	24	造火	造火	tʃɐu24 hu33	tʃɐu24 hu33	zau5 hu2	1998年陳謨志總纂《南寧市誌·文化卷》P657	燒火	原文有音無字
2021	25	攝石	摄石	ʃip3 ʃek2	ʃip3 ʃek2	sip2 sik6	1998年陳謨志總纂《南寧市誌·文化卷》P657	磁石	原文未標音
2021	26	大烘天	大烘天	tai22 hœŋ53 tʰin53	tai22 hœŋ53 tʰin53	daai6 hoeng1 tin1	1998年陳謨志總纂《南寧市誌·文化卷》P657	夏天	原文未標音
2021	27	凐天	凐天	jɐn53 tʰin53	jɐn53 tʰin53	jan1 tin1	1998年陳謨志總纂《南寧市誌·文化卷》P657	冬天	原文有音無字
2021	28	昨日	昨日	tʃi22 ȵɐt24	tʃi22 ȵɐt24	zi6 njat5	1998年陳謨志總纂《南寧市誌·文化卷》P657	昨天	原文有音無字，本字「謝日」
2021	29	謝日	谢日	tʃi22 ȵɐt24	tʃi22 ȵɐt24	zi6 njat5	1998年陳謨志總纂《南寧市誌·文化卷》P657	昨天	原文有音無字
2021	30	禾堂	禾堂	hu21 taŋ21	hu21 taŋ21	hu4 daang4	1998年陳謨志總纂《南寧市誌·文化卷》P657	穀場	原文未標音
2021	31	車手	车手	tʃʰe53 ʃɐu33	tʃʰe53 ʃɐu33	ce1 sau2	1998年陳謨志總纂《南寧市誌·文化卷》P657	車轅	原文未標音
