year	tab_id	trad	simp	ipa_s	ipa_t	jyutping	sour	expl	note
2021	1	木	木	muk2	mʊk2	muk6	1998年陳謨志總纂《南寧市誌·文化卷》P634	名詞作形容詞，形容人的呆板，例：佢木得要死	
2021	2	瓜	瓜	kwa55	kʷa55	gwaa1	1998年陳謨志總纂《南寧市誌·文化卷》P634	名詞作形容詞，形容人的傻氣、土氣，例：佢瓜哦	
2021	3	蛇	蛇	sɛ21	ʃɛ21	se4	1998年陳謨志總纂《南寧市誌·文化卷》P634	名詞作形容詞，蛇平素不愛動，以此形容人懶，例：佢蛇多	
2021	4	狼	狼	lɔŋ21	lɔŋ21	long4	1998年陳謨志總纂《南寧市誌·文化卷》P634	名詞作形容詞，形容人兇狠似狼，例：佢好狼嘅	
2021	5	薑	姜	kœŋ55	kœŋ55	goeng1	1998年陳謨志總纂《南寧市誌·文化卷》P634	名詞作形容詞，薑味辣，形容不給面子，例：佢薑多	
2021	6	賊	贼	tsʰɐk2	tʃʰɐk2	cak6	1998年陳謨志總纂《南寧市誌·文化卷》P634	名詞作形容詞，形容人的陰險	
2021	7	豬	猪	tsy55	tʃy55	zyu1	1998年陳謨志總纂《南寧市誌·文化卷》P634	名詞作形容詞，形容人的愚鈍	
2021	8	簕竇	簕窦	lɐk2 tɐu33	lɐk2 tɐu33	lak6 dau3	1998年陳謨志總纂《南寧市誌·文化卷》P634	名詞作形容詞，荊棘，形容人不易打交道	原文有音無字
2021	9	水	水	sui35	ʃui35	sui2	1998年陳謨志總纂《南寧市誌·文化卷》P634	名詞作形容詞，形容人無能、沒本事	
2021	10	雞	鸡	kɐi55	kɐi55	gai1	1998年陳謨志總纂《南寧市誌·文化卷》P634	名詞作形容詞，形容人好色	
2021	11	鷄	鸡	kɐi55	kɐi55	gai1	1998年陳謨志總纂《南寧市誌·文化卷》P634	名詞作形容詞，形容人好色	
2021	12	豉油	豉油	si22 jɐu21	ʃi22 jɐu21	si6 jau4	1998年陳謨志總纂《南寧市誌·文化卷》P634	名詞作形容詞，形容人愛打扮、做作、好出風頭	原文「豉」字作[si21]，受後字調類化爲陽平
2021	13	食喳喳	食喳喳	sik2 tsa21 tsa21	ʃek2 tʃa21 tʃa21	sik6 zaa4 zaa4	1998年陳謨志總纂《南寧市誌·文化卷》P634	拼命地吃，吃的場面很大。	原文有音無字
2021	14	咬㗱㗱	咬㗱㗱	ŋɛu24 tsɐp2 tsɐp2	ŋɛu24 tʃɐp2 tʃɐp2	ngeu5 zap6 zap6	1998年陳謨志總纂《南寧市誌·文化卷》P634	咂著嘴啃。	原文有音無字
2021	15	咬硞硞	咬硞硞	ŋɛu24 kʰuk5 kʰuk5	ŋɛu24 kʰʊk5 kʰʊk5	ngeu5 kuk1 kuk1	1998年陳謨志總纂《南寧市誌·文化卷》P634	咬硬東西貌。	原文有音無字
2021	16	拍卟卟	拍卟卟	pʰak3 pɐp2 pɐp2	pʰak3 pɐp2 pɐp2	paak3 bap6 bap6	1998年陳謨志總纂《南寧市誌·文化卷》P634	「卟卟」地拍。	原文有音無字
